xf0,xf1,center,expected_center,fwhm
0,5,187.04979093593977,191.32509162,0.31538156707964493
0,6,187.0469301587688,192.96971692,0.34512592967455
0,7,187.04471054570323,194.65843399,0.325489914014025
0,50,300.0400880214284,292.27884272,0.7782313660822522
1,3,188.6894015388737,188.16279125,2.3113285916628237
1,4,187.04255270965885,189.72321432,0.32982942487049444
1,6,193.38164046342777,192.96971692,1.6676858601476237
2,4,190.14414316488845,189.72321432,1.6806981631856261
2,5,191.71946110546102,191.32509162,1.6707905547625277
2,11,202.31486718672832,201.73083689,1.9632261123162686
2,12,204.27246467527684,203.6579049,2.347647166910633
2,13,206.366870160582,205.63818422,2.2066041746522296
2,14,208.1498243289958,207.67343911,2.214216553750699
2,38,261.0128552075464,259.64679464,2.27280636267307
2,41,268.50307265342434,267.06521948,2.571392437137149
2,43,273.7118025073699,272.28637807,3.255232226256322
2,45,279.16369238658257,277.74358649,3.6197468077936783
2,46,281.8832482564726,280.56523012,3.102737452683341
3,4,190.08466917622633,189.72321432,1.6716536027827045
3,5,191.68175961814958,191.32509162,1.6335533487855212
3,6,193.30770234108059,192.96971692,1.7186874939450063
3,7,194.7516266956426,194.65843399,1.5599843239276803
3,9,198.6073859232355,198.0296243,1.928061187224329
3,11,202.29799412986293,201.73083689,1.8037389124190528
3,12,204.20671235794262,203.6579049,1.925377072502674
3,13,206.2750151360227,205.63818422,2.2439887575522333
3,14,208.19136727152602,207.67343911,1.8982876770946302
3,15,210.30644125247568,209.76550744,1.9686443039443202
3,37,258.3883654873597,257.27800588,3.270304604447769
3,38,260.4918257912209,259.64679464,2.3245785877827116
3,39,263.0493156156475,262.06659921,3.1529293352665557
3,45,278.8846032773559,277.74358649,2.32285992687846
4,1,185.56970236751206,185.16136904,1.5310277347437844
4,2,187.0087160837533,186.64257634,2.2239516825834427
4,3,188.62656254594756,188.16279125,1.5345586210794333
4,6,193.26507565466844,192.96971692,1.619104941154645
4,7,194.9359650320129,194.65843399,1.6131292594371966
4,14,208.12150370784286,207.67343911,1.9787210994199815
4,15,210.05369000580447,209.76550744,2.684123682302552
4,17,214.71750600582192,213.94258352,2.0560411012535766
4,23,228.96297156626989,228.57567218,2.8747130700068184
4,26,235.14365712852836,234.35463586,1.8047418238401123
4,37,258.1340620473877,257.27800588,2.47008319080619
4,38,260.4728231893129,259.64679464,2.456317220228511
4,39,262.8084347272718,262.06659921,3.116729391962331
4,42,270.40299267532856,269.6471616,2.540151442351488
4,43,272.93548563616696,272.28637807,2.756552996922166
4,45,278.35169955309027,277.74358649,3.591246074537856
4,52,300.0835630568538,298.67406315,0.8408155695241463
4,54,300.0626125168367,305.38080342,0.9197504001567135
5,4,189.5509479472302,189.72321432,1.6338776389793233
5,5,191.0485228215073,191.32509162,1.6293929607529363
5,6,192.6665162048694,192.96971692,1.6072040525206193
5,7,194.30892097124487,194.65843399,1.6797928414339787
5,14,207.75742142927368,207.67343911,1.848907285680863
5,26,234.63133980437755,234.35463586,1.5729682344768865
5,27,236.4880348906807,236.24861235,1.8886839542784764
5,40,264.85979166734694,264.53889634,3.216855715957782
5,46,280.90767588688817,280.56523012,3.030862570921634
5,54,300.09475883787223,305.38080342,0.9313127077873514
6,4,189.64157802250324,189.72321432,1.695879486128628
6,6,187.0286152487323,192.96971692,0.3851656397200361
6,7,194.40014545931086,194.65843399,1.5876016439783533
6,12,203.71231810803522,203.6579049,2.089933803688128
6,38,260.2193674810978,259.64679464,3.802445386355647
6,47,283.42343328368554,283.45145867,3.291013703545444
7,7,187.0416158708151,194.65843399,0.38206212528509054
8,2,187.04774355742438,186.64257634,0.33485646211456255
9,1,187.04033449209464,185.16136904,0.3149949285019877
9,2,187.03495748067357,186.64257634,0.3965879050838455
9,3,187.04695252208668,188.16279125,0.3111708732629586
10,1,187.04362237144576,185.16136904,0.3436059731866992
10,2,187.0715638998885,186.64257634,0.3935032300723902
10,3,187.04729046647896,188.16279125,0.32729950344662323
10,6,187.03251458698162,192.96971692,0.3902810242919059
10,45,270.0735774413842,277.74358649,0.445363927638363
11,1,185.72074306831098,185.16136904,2.3178690905529735
11,3,187.04015445275854,188.16279125,0.3488893049122864
11,7,187.05295107271274,194.65843399,0.3344241828849046
11,10,200.71343543103143,199.85528592,1.9656490524063415
11,17,214.57985913169244,213.94258352,2.0342019170665626
11,44,270.05507797147254,274.9845898,0.3929374108193716
11,45,270.1026909432267,277.74358649,0.32384959129328683
12,0,187.0505058323888,183.71801232,0.41319739968273056
12,12,196.0590609956712,203.6579049,0.3623347396639721
12,25,242.41219200286895,232.49762763,0.41844034388935447
12,44,270.0844071579521,274.9845898,0.37830269294287744
12,52,300.2390601978988,298.67406315,1.8866973424756608
13,4,187.03625993627494,189.72321432,0.3902939441900014
13,45,270.1139449242086,277.74358649,0.41504319063571055
14,0,187.03457506144602,183.71801232,0.3200808411775226
14,22,234.19914853493904,225.95897538,0.41989041888263184
14,44,270.0856065760326,274.9845898,0.4095824540258326
