xf0,xf1,center,expected_center,fwhm
0,3,187.0322594890986,188.16279125,0.43042801646487105
0,4,180.084228515625,189.72321432,0.21559021408364404
0,5,187.0152900963716,191.32509162,0.44295829174171125
0,7,187.02922758776202,194.65843399,0.32075811279691546
1,2,187.11182780041568,186.64257634,1.611912543028502
1,4,190.16257525325886,189.72321432,1.6826995625236179
1,6,193.3505043969872,192.96971692,1.6291435086143364
1,11,196.70236702211056,201.73083689,0.5419335970668419
1,13,206.20611087605175,205.63818422,1.9673222624019826
1,15,210.2652363285481,209.76550744,1.965327122660043
1,20,221.77469592845705,220.94641077,2.2856603493148886
1,21,214.4793187929642,223.41674823,0.40061171607516216
1,23,229.16853017421667,228.57567218,2.9793023031952455
1,40,265.84383219752385,264.53889634,2.784260895296535
1,43,273.3664085262971,272.28637807,2.4710228087617057
1,46,281.53079736125204,280.56523012,2.558051265345561
2,0,184.6782415210843,183.71801232,2.8490256940354595
2,1,185.19107751371413,185.16136904,3.515713629879285
2,2,187.0401008558003,186.64257634,1.9903230719642917
2,4,190.1584462374642,189.72321432,1.673372795188203
2,5,191.71801306859723,191.32509162,1.652630753279926
2,12,204.26090895355483,203.6579049,1.9169289047431666
2,14,208.31991408787326,207.67343911,1.9713258840394112
2,15,210.34304425435172,209.76550744,1.9513446116623843
2,16,212.68011786917324,211.73616035,2.4652689594672146
2,17,214.76217366224006,213.94258352,2.114247937603265
2,18,217.0942649402381,216.21163982,2.1503885013011734
2,19,219.80344849243667,218.54549518,2.0564808402185046
2,20,221.71414166344653,220.94641077,2.250815890849548
2,22,226.89392093296604,225.95897538,2.0257947399037946
2,23,229.32638529690988,228.57567218,2.301546582439468
2,38,261.12084166224844,259.64679464,2.8728282791756716
2,42,270.88459724360274,269.6471616,2.394219162929826
3,1,185.54109028924245,185.16136904,1.6482055455000932
3,2,187.08960917663074,186.64257634,1.8557163700378847
3,3,188.6255928276453,188.16279125,1.8989891310682656
3,4,190.10541421368302,189.72321432,1.6349302997806936
3,5,191.69102927645645,191.32509162,1.6013493745091658
3,6,193.31317352892438,192.96971692,1.7073695142240326
3,7,194.81299790541811,194.65843399,1.5629588606666542
3,8,196.82007830877993,196.25228765,1.773410038661054
3,9,198.58418520903206,198.0296243,1.8353882106272803
3,12,204.14401413195964,203.6579049,1.9158195815765102
3,13,206.18568570396152,205.63818422,2.0469756953209286
3,14,208.2125412057761,207.67343911,1.8695511907080848
3,15,210.23724310583324,209.76550744,1.9169495566308052
3,17,214.7748798740065,213.94258352,2.036287719822143
3,18,216.96048830656315,216.21163982,2.1345366055471584
3,19,219.12963688217008,218.54549518,2.112940995366564
3,20,221.68448102620934,220.94641077,2.2438660213390644
