xf0,xf1,center,expected_center,fwhm
0,3,187.01707739919644,188.16279125,0.4838520374229197
0,4,180.084228515625,189.72321432,0.21559021408364404
0,5,187.03933812043877,191.32509162,0.3174159571744401
0,6,187.02711988344004,192.96971692,0.3208838215703119
0,7,187.0391376551117,194.65843399,0.3255034719710725
1,4,187.04987374505205,189.72321432,0.3115747926727258
1,6,193.3361880576535,192.96971692,2.207849269330673
1,15,210.29591125620883,209.76550744,1.9075170184880617
1,23,229.27842462332183,228.57567218,2.1897213942025733
1,41,268.281087927947,267.06521948,2.4259433358042286
2,4,190.2381430042603,189.72321432,1.6900843462079371
2,5,191.70206157336858,191.32509162,1.7126104128127937
2,16,212.70736211011157,211.73616035,2.993201988795653
2,17,214.8563102218019,213.94258352,2.3287471848285586
2,18,217.11479954393084,216.21163982,2.271636972071124
2,20,221.81447402509528,220.94641077,2.7115327648967567
2,21,224.1750589964775,223.41674823,2.3441703086126395
2,23,229.29261833616255,228.57567218,2.5122124004055557
2,38,261.0435812144254,259.64679464,2.3262831309926444
2,41,268.47841857440403,267.06521948,2.982148676028149
2,43,273.6430983904191,272.28637807,2.6103759985387662
2,45,278.9662973425264,277.74358649,2.9127235439359582
2,46,282.00179995212244,280.56523012,3.0857976566667165
3,2,187.075599995864,186.64257634,1.8628928954250383
3,3,188.61521677581362,188.16279125,1.6000936798355467
3,4,190.11308832587594,189.72321432,1.631825287314799
3,5,191.65509687183774,191.32509162,1.5996588516701764
3,6,193.3499097511598,192.96971692,1.6651981913297773
3,7,194.78885248696528,194.65843399,1.599487296640269
3,8,196.8334654526896,196.25228765,1.8171690488070604
3,9,198.58704652426573,198.0296243,1.9619968535515788
3,12,204.22296528828826,203.6579049,2.004134082085987
3,13,206.14473155175548,205.63818422,2.061989924568324
3,14,208.21528971759398,207.67343911,1.8891556959967524
3,15,210.18726978623098,209.76550744,1.878448116636123
3,17,214.82439677799167,213.94258352,2.0221554036921847
3,18,216.9640076048207,216.21163982,2.2441430161841596
3,19,219.1622928551498,218.54549518,2.2530213539349044
3,20,221.68569093808853,220.94641077,2.2731904497007522
3,21,224.01742778779595,223.41674823,2.2697827344698873
3,22,226.60487505167433,225.95897538,2.4613728969656656
3,23,229.03027364184496,228.57567218,2.3733632871234915
3,36,255.97834504961415,254.95881035,2.045033270122243
3,38,260.51365080442054,259.64679464,2.4620130797051614
3,39,263.23787216448403,262.06659921,2.312615702066647
3,43,273.16893544703726,272.28637807,2.1329425415701038
3,45,278.91493814869665,277.74358649,2.3406483983213295
4,0,184.15697152543487,183.71801232,1.9738759252928355
