xf0,xf1,center,expected_center,fwhm
0,24,229.51308499903493,230.67665297,0.555023633023019
0,43,265.30348410707495,272.28637807,2.9221647536613533
1,15,210.15048490441933,209.76550744,2.2069791672681434
2,1,180.084228515625,185.16136904,0.21559021408364404
2,9,198.49399577580044,198.0296243,1.5649858724113614
2,10,200.45731116520048,199.85528592,1.510136238687686
2,11,202.67801561365638,201.73083689,1.5793087060278046
2,15,210.23342930151242,209.76550744,2.2306061047454597
2,23,225.7637534926825,228.57567218,0.9126341444456375
3,8,196.71116574549018,196.25228765,1.8101351627098725
3,9,198.55327079300466,198.0296243,1.9932222418367367
3,10,200.35207645982024,199.85528592,1.8408999868773748
3,15,210.23289514881924,209.76550744,1.9147535365347768
3,18,225.81562198443035,216.21163982,0.5447397931233012
4,13,205.72805871709545,205.63818422,1.0999991966914695
5,26,232.9819246882307,234.35463586,0.45119834125738256
5,30,232.9819246882307,242.16218512,0.45119834125738256
5,46,279.18616591640034,280.56523012,0.5092280633080124
6,18,225.7904633600882,216.21163982,0.6876134043689255
6,20,221.09012151752188,220.94641077,2.695634054130973
6,22,225.9140411761125,225.95897538,2.3099939254938864
7,1,185.66769319524298,185.16136904,0.3932149092992366
7,18,225.8666389479105,216.21163982,0.47629341410631504
8,1,184.1164990646615,185.16136904,0.39715152889708766
10,51,289.96485522088346,295.43876537,0.3936991058701422
11,19,211.17813975684044,218.54549518,0.6599088746046603
