xf0,xf1,center,expected_center,fwhm
0,4,180.084228515625,189.72321432,0.21559021408364404
0,23,224.54580021326348,228.57567218,1.363309746995823
1,2,187.0530627074961,186.64257634,1.3175576794540396
1,4,190.15608588095472,189.72321432,1.7022840135209616
1,6,193.3267799803462,192.96971692,1.7144925051142068
1,9,198.61815784117664,198.0296243,1.8801859025635461
1,11,202.31064805877082,201.73083689,1.8254901426017855
1,12,204.22708276693277,203.6579049,1.9674469447917875
1,13,206.234942088898,205.63818422,1.8692245725382561
1,14,208.27077273019762,207.67343911,1.927609466007683
1,16,212.56324057346404,211.73616035,2.2345921213623456
1,18,216.99895804854472,216.21163982,1.988005043798569
1,21,224.019490443188,223.41674823,2.4296827735045694
2,0,184.65506127273642,183.71801232,2.5822355263460075
2,1,185.13658148086657,185.16136904,2.598452210681297
2,2,187.07049964634447,186.64257634,1.4989171270664712
2,3,188.65070840689313,188.16279125,1.5646075409075375
2,4,190.15671092749355,189.72321432,1.6593557392050557
2,5,191.71907537695608,191.32509162,1.676338251571732
2,8,196.86396861975786,196.25228765,1.8370462714086273
2,10,200.49947981508052,199.85528592,1.8338328667500483
2,11,202.38829755120292,201.73083689,1.751048063268323
2,12,204.286145027747,203.6579049,1.862720196155397
2,14,208.3281741429514,207.67343911,1.9324014653701347
2,15,210.33388749985406,209.76550744,1.8861356348670162
2,16,212.68174725492347,211.73616035,2.185108933122912
2,17,214.7604873241717,213.94258352,2.0814845265841204
2,18,217.0868556144281,216.21163982,2.0722773892740154
2,19,219.6337025190071,218.54549518,2.381268971692582
2,20,221.84762792343162,220.94641077,2.308432909268681
2,22,226.90690662484556,225.95897538,2.0553779788850157
2,23,229.31191546500747,228.57567218,2.280171733911154
2,24,231.54020294620167,230.67665297,1.6486182258669257
2,42,270.73731065332754,269.6471616,2.409888224596487
2,47,284.7786802873645,283.45145867,2.6773909297862013
2,59,322.6864954175917,323.65429567,0.4441940179651504
3,0,184.04635152163192,183.71801232,1.5588430226643861
3,1,185.55837689757098,185.16136904,1.6126029194678402
3,2,187.03934304030184,186.64257634,1.9017439621254373
3,3,188.59801999866235,188.16279125,1.6037184668863318
3,4,190.08774601424,189.72321432,1.5830284311023735
3,5,191.68956259985416,191.32509162,1.603382715600432
3,6,193.31376923407197,192.96971692,1.7091987773991704
3,7,194.79789991346132,194.65843399,1.4961701100587026
3,8,196.81536128712182,196.25228765,1.7835342848629183
3,9,198.59255348273697,198.0296243,1.8283193562637907
3,10,200.48309383667277,199.85528592,1.7677028624148208
3,11,202.29811182014544,201.73083689,1.8065619281399323
3,12,204.23126897376446,203.6579049,1.990002401151764
3,13,206.19699510578155,205.63818422,2.0505804623491155
3,14,208.23613444214845,207.67343911,1.903864053713636
3,15,210.22235420542927,209.76550744,1.902082286086374
