1.50000000e+02 1.968878e-01 5.126933e+01
1.50002000e+02 1.968988e-01 5.127168e+01
1.50004000e+02 1.969099e-01 5.127405e+01
1.50006000e+02 1.969211e-01 5.127643e+01
1.50008000e+02 1.969324e-01 5.127883e+01
1.50010000e+02 1.969438e-01 5.128125e+01
1.50012000e+02 1.969553e-01 5.128369e+01
1.50014000e+02 1.969669e-01 5.128616e+01
1.50016000e+02 1.969786e-01 5.128864e+01
1.50018000e+02 1.969905e-01 5.129116e+01
1.50020000e+02 1.970026e-01 5.129371e+01
1.50022000e+02 1.970148e-01 5.129629e+01
1.50024000e+02 1.970272e-01 5.129890e+01
1.50026000e+02 1.970398e-01 5.130156e+01
1.50028000e+02 1.970527e-01 5.130427e+01
1.50030000e+02 1.970659e-01 5.130703e+01
1.50032000e+02 1.970793e-01 5.130984e+01
1.50034000e+02 1.970931e-01 5.131273e+01
1.50036000e+02 1.971073e-01 5.131570e+01
1.50038000e+02 1.971220e-01 5.131876e+01
1.50040000e+02 1.971372e-01 5.132193e+01
1.50042000e+02 1.971531e-01 5.132524e+01
1.50044000e+02 1.971698e-01 5.132870e+01
1.50046000e+02 1.971874e-01 5.133234e+01
1.50048000e+02 1.972060e-01 5.133621e+01
1.50050000e+02 1.972259e-01 5.134032e+01
1.50052000e+02 1.972467e-01 5.134464e+01
1.50054000e+02 1.972678e-01 5.134901e+01
1.50056000e+02 1.972870e-01 5.135301e+01
1.50058000e+02 1.973011e-01 5.135599e+01
1.50060000e+02 1.973080e-01 5.135753e+01
1.50062000e+02 1.973095e-01 5.135797e+01
1.50064000e+02 1.973087e-01 5.135796e+01
1.50066000e+02 1.973079e-01 5.135798e+01
1.50068000e+02 1.973082e-01 5.135820e+01
1.50070000e+02 1.973096e-01 5.135867e+01
1.50072000e+02 1.973121e-01 5.135935e+01
1.50074000e+02 1.973155e-01 5.136023e+01
1.50076000e+02 1.973198e-01 5.136127e+01
1.50078000e+02 1.973247e-01 5.136244e+01
1.50080000e+02 1.973302e-01 5.136372e+01
1.50082000e+02 1.973361e-01 5.136510e+01
1.50084000e+02 1.973425e-01 5.136656e+01
1.50086000e+02 1.973492e-01 5.136809e+01
1.50088000e+02 1.973563e-01 5.136968e+01
1.50090000e+02 1.973636e-01 5.137133e+01
1.50092000e+02 1.973712e-01 5.137302e+01
1.50094000e+02 1.973789e-01 5.137476e+01
1.50096000e+02 1.973869e-01 5.137653e+01
1.50098000e+02 1.973951e-01 5.137834e+01
1.50100000e+02 1.974034e-01 5.138018e+01
1.50102000e+02 1.974119e-01 5.138205e+01
1.50104000e+02 1.974205e-01 5.138394e+01
1.50106000e+02 1.974292e-01 5.138585e+01
1.50108000e+02 1.974380e-01 5.138779e+01
1.50110000e+02 1.974469e-01 5.138975e+01
1.50112000e+02 1.974560e-01 5.139172e+01
1.50114000e+02 1.974651e-01 5.139371e+01
1.50116000e+02 1.974743e-01 5.139572e+01
1.50118000e+02 1.974836e-01 5.139774e+01
1.50120000e+02 1.974929e-01 5.139977e+01
1.50122000e+02 1.975023e-01 5.140182e+01
1.50124000e+02 1.975118e-01 5.140388e+01
1.50126000e+02 1.975213e-01 5.140595e+01
1.50128000e+02 1.975309e-01 5.140803e+01
1.50130000e+02 1.975406e-01 5.141012e+01
1.50132000e+02 1.975503e-01 5.141222e+01
