0.000000000000000000e+00,6.000000000000000000e+00,3.510287376578718010e+01,2.124142899494498593e+01
0.000000000000000000e+00,1.900000000000000000e+01,2.458632364805495740e+01,1.220535901406059587e+01
0.000000000000000000e+00,2.200000000000000000e+01,2.032655167820063369e+01,1.195473353105799852e+01
0.000000000000000000e+00,4.100000000000000000e+01,5.683050185512132657e+01,3.157834479356005275e+01
0.000000000000000000e+00,4.300000000000000000e+01,3.784031928189937588e+01,3.676884606013056356e+01
0.000000000000000000e+00,5.300000000000000000e+01,2.021269446127837099e+01,1.009030741573534051e+01
1.000000000000000000e+00,8.000000000000000000e+00,1.186880344969182133e+01,5.133940142859889200e+00
1.000000000000000000e+00,1.000000000000000000e+01,1.232295704086747534e+01,4.582727095293338770e+00
1.000000000000000000e+00,1.400000000000000000e+01,9.415912155091028524e+00,2.815286540596605658e+00
1.000000000000000000e+00,1.500000000000000000e+01,1.327048098950978883e+01,3.126935974318973521e+00
1.000000000000000000e+00,1.700000000000000000e+01,2.890601444619225546e+01,1.439970811605775403e+01
1.000000000000000000e+00,1.800000000000000000e+01,1.714062681576787028e+01,9.667690438321640656e+00
1.000000000000000000e+00,1.900000000000000000e+01,1.946316721935344773e+01,1.066170575822498101e+01
1.000000000000000000e+00,2.000000000000000000e+01,1.652193364331588654e+01,9.365630121809099151e+00
1.000000000000000000e+00,2.100000000000000000e+01,1.929246447089465377e+01,1.857866793304401298e+01
1.000000000000000000e+00,2.400000000000000000e+01,4.012027133989139571e+01,1.268131892569546615e+01
1.000000000000000000e+00,4.200000000000000000e+01,1.415993836582096321e+02,3.542877105539601956e+01
1.000000000000000000e+00,4.400000000000000000e+01,7.871381383999225818e+02,4.258831903274447939e+01
1.000000000000000000e+00,4.500000000000000000e+01,2.648700727275928912e+01,2.032323899600345030e+01
1.000000000000000000e+00,4.600000000000000000e+01,8.218100817603331620e+01,8.773061271706400532e+01
1.000000000000000000e+00,4.700000000000000000e+01,2.796039368703980443e+01,2.495470824630690032e+01
2.000000000000000000e+00,9.000000000000000000e+00,1.009814527965679076e+01,5.221618546198108390e+00
2.000000000000000000e+00,1.100000000000000000e+01,4.391200794099186311e+01,5.576698522942751701e+00
2.000000000000000000e+00,1.200000000000000000e+01,1.079949620557275480e+01,3.185272576606157369e+00
2.000000000000000000e+00,1.300000000000000000e+01,8.998663972737050543e+00,4.319533322544419462e+00
2.000000000000000000e+00,1.400000000000000000e+01,1.222569718194330513e+01,3.430104825536005819e+00
2.000000000000000000e+00,2.400000000000000000e+01,2.024366864330839277e+01,2.271749679445362347e+01
2.000000000000000000e+00,2.500000000000000000e+01,3.727438010639684762e+01,1.189743922973875812e+01
2.000000000000000000e+00,2.600000000000000000e+01,2.475966332591170982e+01,1.030155827427782889e+01
2.000000000000000000e+00,2.700000000000000000e+01,3.171266435876325573e+01,9.518834169888837238e+00
2.000000000000000000e+00,2.800000000000000000e+01,2.252736828493715393e+01,8.142231013768906678e+00
2.000000000000000000e+00,4.700000000000000000e+01,1.491701702439233834e+01,9.535532802853992962e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.601869991881599731e+01,6.749199813376723256e+00
3.000000000000000000e+00,9.000000000000000000e+00,1.037239465158606322e+01,5.183009474017234552e+00
3.000000000000000000e+00,1.100000000000000000e+01,8.772817046166103694e+00,6.221152168893389955e+00
3.000000000000000000e+00,1.300000000000000000e+01,1.090902177508208837e+01,2.697160096872868174e+00
3.000000000000000000e+00,1.500000000000000000e+01,8.816336888529061611e+00,2.828143975966141976e+00
3.000000000000000000e+00,1.900000000000000000e+01,1.820537262913664023e+01,7.295962083675210152e+00
3.000000000000000000e+00,2.100000000000000000e+01,1.688269630089391171e+01,1.091083586709717856e+01
3.000000000000000000e+00,2.400000000000000000e+01,2.142655696950640731e+01,2.014326702525377755e+01
3.000000000000000000e+00,2.500000000000000000e+01,1.729040184976735617e+01,2.040062638085104041e+01
3.000000000000000000e+00,2.600000000000000000e+01,2.519568021890348319e+01,1.910561198426434615e+01
3.000000000000000000e+00,2.700000000000000000e+01,2.044222050502158083e+01,2.434455338217794562e+01
3.000000000000000000e+00,2.800000000000000000e+01,1.287399230375282855e+02,5.883541499113232476e+01
3.000000000000000000e+00,2.900000000000000000e+01,3.446161537664808350e+01,3.465725665506352016e+01
3.000000000000000000e+00,3.000000000000000000e+01,4.073001252823243590e+01,4.018430337245540329e+01
4.000000000000000000e+00,1.000000000000000000e+01,1.253240842512246722e+01,4.847687293654426632e+00
4.000000000000000000e+00,2.100000000000000000e+01,1.848242681863262504e+01,7.579344867994729285e+00
4.000000000000000000e+00,2.200000000000000000e+01,1.353313444035090995e+01,8.481630104322789521e+00
4.000000000000000000e+00,3.800000000000000000e+01,1.232324008288245665e+01,1.193634666631902519e+01
4.000000000000000000e+00,4.000000000000000000e+01,1.654892981883557823e+01,1.945689122398886184e+01
4.000000000000000000e+00,4.200000000000000000e+01,1.293516892400092999e+01,5.949464183508170301e+00
4.000000000000000000e+00,4.300000000000000000e+01,1.624191671750166321e+01,7.299737463076602317e+00
4.000000000000000000e+00,4.500000000000000000e+01,1.170913886767706380e+01,6.530301062341802520e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.619793044228178402e+01,1.231569858847444188e+01
4.000000000000000000e+00,5.300000000000000000e+01,2.046284263796303193e+01,1.323675080121816983e+01
4.000000000000000000e+00,5.400000000000000000e+01,3.279168313764597542e+01,1.676961135131959324e+01
5.000000000000000000e+00,3.000000000000000000e+00,2.532811374290616158e+01,1.277935229645344606e+01
5.000000000000000000e+00,4.000000000000000000e+00,3.251023318755996172e+01,1.106798121502936283e+01
