xf0,xf1,center,expected_center,fwhm
1,27,237.83887755903953,236.24861235,0.5606529892797609
2,22,226.64768430500507,225.95897538,1.8135317897583576
3,22,226.24485871714415,225.95897538,2.1785676385176784
3,23,229.157217846202,228.57567218,2.2881908639727686
4,28,241.63757705366623,238.18052371,0.3339965648050585
7,31,237.83887755903953,244.21404055,0.5606529892797609
9,10,209.4800372231994,199.85528592,0.49393363021963554
9,56,312.7209411581412,312.42022833,0.47373122994772976
10,48,282.45283855385463,286.17572325,0.47438697541868
12,5,187.0388298731201,191.32509162,0.5353938446723477
13,19,208.69418795585295,218.54549518,0.5147100966172842
14,31,251.6586036024502,244.21404055,0.4713656803222921
15,22,220.3791840772423,225.95897538,0.4615165284780662
