xf0,xf1,center,expected_center,fwhm
0,4,180.084228515625,189.72321432,0.21559021408364404
0,22,230.94733354432873,225.95897538,0.46003360053654463
1,3,188.62419005683932,188.16279125,1.8128685085163245
1,19,219.54253084055028,218.54549518,2.5505792267364553
1,35,253.7794132954615,252.85464004,2.275211846396643
1,37,258.4464271355224,257.27800588,2.3121973106483997
1,38,260.88642049548275,259.64679464,2.6980254500019036
2,4,190.10584706316774,189.72321432,2.0463593005408627
2,5,191.74240007703625,191.32509162,1.7081811005721956
2,12,204.29516349860077,203.6579049,2.379642874968271
2,13,206.38552780885053,205.63818422,2.1650493183272594
2,17,214.79186024814243,213.94258352,2.6762238486933763
2,18,217.05496514349215,216.21163982,2.1657751413681336
2,19,219.60448651529074,218.54549518,2.29709973010372
2,20,221.83184897779645,220.94641077,2.637275945146577
2,21,224.16797849167955,223.41674823,2.121693316816711
2,22,226.94956272003353,225.95897538,2.2411000085883654
2,23,229.29249738659666,228.57567218,2.6764358631001848
2,38,261.03085299532063,259.64679464,2.287650339885566
2,40,266.06639184273746,264.53889634,2.8346318270866986
2,41,268.4213064324333,267.06521948,2.402099884832783
2,43,273.66437941709273,272.28637807,2.5785252447839944
2,44,276.2824536022722,274.9845898,2.706781210988748
2,45,279.1644220522308,277.74358649,2.739258277895207
2,46,281.95046571555923,280.56523012,2.745039466491014
3,1,185.5758997038175,185.16136904,2.270329921288164
3,2,187.10395892607252,186.64257634,1.8318706257428559
3,3,188.5502303009969,188.16279125,1.7173611838477278
3,4,190.1045047684206,189.72321432,1.602100104531504
3,5,191.68871105661643,191.32509162,1.5829055953763775
3,6,193.33064450863478,192.96971692,1.7899794385740406
3,7,194.81145837453107,194.65843399,1.474898650497434
3,8,196.65880765022828,196.25228765,2.2202011536693944
3,9,198.58074289159973,198.0296243,2.11040526968277
3,11,202.30695491582614,201.73083689,1.7976567655848361
3,12,204.21745957816756,203.6579049,1.9320018855123005
3,13,206.21318811025546,205.63818422,2.097252316701706
3,14,208.23363193206038,207.67343911,1.8663612616601029
3,15,210.2256472072344,209.76550744,2.1039944502730887
3,17,214.8443831396159,213.94258352,2.065284976528512
3,18,216.96322149132806,216.21163982,2.187723099986342
3,19,219.12360132948442,218.54549518,2.1903687595338104
3,20,221.6837040518782,220.94641077,2.2306233956994537
3,21,224.04999438622585,223.41674823,2.422864869887387
3,22,226.5858955978843,225.95897538,2.4720307837634325
3,23,229.02854108755093,228.57567218,2.423640485128015
3,37,258.3723677488089,257.27800588,2.9827527606387507
3,38,260.5291871012013,259.64679464,2.278000756475733
3,39,262.0857841154392,262.06659921,4.882571472139599
3,40,265.3042748432003,264.53889634,2.997760732848783
3,41,267.97390461255645,267.06521948,2.15609057015008
3,42,271.19067194179917,269.6471616,2.7160906654500208
3,45,278.9117498316664,277.74358649,2.334667744379701
4,0,184.25573188250843,183.71801232,2.3368948059017822
