xf0,xf1,center,expected_center,fwhm
2,1,180.084228515625,185.16136904,0.21559021408364404
2,2,187.09649587902888,186.64257634,1.2854682384529117
2,3,188.7008347976009,188.16279125,2.394471779240447
2,4,190.18206754528055,189.72321432,1.7159278567509568
2,5,191.49106309735936,191.32509162,1.2096768520631855
2,6,193.46194450900379,192.96971692,1.3369746296317853
3,3,188.48660333949945,188.16279125,1.603546311645038
3,5,191.98808439734177,191.32509162,1.3313835649830303
3,6,193.13389849801808,192.96971692,1.35181818503685
5,23,224.40274029972704,228.57567218,0.45494906755035475
6,40,274.4774405060095,264.53889634,0.3524642517506685
7,55,304.7911027347947,308.85753398,0.47222802520323487
12,49,280.69712955832074,289.19192083,0.5072912226068564
14,20,223.38587550504346,220.94641077,0.3379398325966862
