xf0,xf1,center,expected_center,fwhm
0,4,180.084228515625,189.72321432,0.21559021408364404
0,38,263.2436595746163,259.64679464,2.6365211200882053
1,8,196.82353787946676,196.25228765,1.856636068670292
1,36,263.15994925079474,254.95881035,1.9765147069528983
1,50,297.3195103319386,292.27884272,0.3491902049033518
2,4,190.21489096556047,189.72321432,1.7541845675039565
2,5,191.4409230245487,191.32509162,2.6160215228891506
2,14,208.3620065461319,207.67343911,1.9701903799867089
2,17,214.79579491007195,213.94258352,2.219763917944317
2,20,221.94181342192786,220.94641077,2.3523392827407417
2,22,226.98643068022133,225.95897538,2.149044562436757
2,23,229.21307893102608,228.57567218,2.7138787782386884
2,36,256.26277917070655,254.95881035,2.0553063863773495
2,37,258.58838052040335,257.27800588,2.183850327045992
2,39,263.2835913424694,262.06659921,2.173791640513064
2,45,274.5182402915588,277.74358649,0.34235277751841986
3,2,187.09412890392332,186.64257634,2.015567183368028
3,3,188.6720207284183,188.16279125,1.6003907186341835
3,4,190.1020389757094,189.72321432,1.6407097657444503
3,5,191.7073582522656,191.32509162,1.6195145797974295
3,6,193.34178347872364,192.96971692,1.6827989041996567
3,8,196.80288899045425,196.25228765,2.4327577899965696
3,9,198.62595972363715,198.0296243,1.7470193544800205
3,13,206.28270455038492,205.63818422,2.125031706928353
3,15,210.27212681990557,209.76550744,1.8631906486237189
3,17,214.8421537762194,213.94258352,1.9913402608994444
3,19,219.2170807767029,218.54549518,2.215164105647613
3,20,221.7746153422235,220.94641077,2.4941836301043105
3,21,224.17669991661293,223.41674823,2.3466251550301385
3,22,226.60100629269598,225.95897538,2.4555180245440513
3,23,229.16154438314956,228.57567218,2.35738717511327
3,37,258.4087506082323,257.27800588,2.724129609839448
3,39,263.2000435788371,262.06659921,2.2051325852307206
3,40,265.3053671576932,264.53889634,2.5076790600894543
3,41,267.97458103785243,267.06521948,2.0719932756831505
3,42,265.33870298402445,269.6471616,3.6118170012690824
4,1,185.67180712156335,185.16136904,1.8864468147633728
4,3,188.65615760280627,188.16279125,1.5358740374786124
4,15,210.18730600440148,209.76550744,1.9907909375583712
4,17,214.76457831586882,213.94258352,2.492351846724943
4,18,217.04587546921772,216.21163982,2.2645374706335915
4,19,219.1859002650591,218.54549518,1.84833023004968
4,20,221.67849133274063,220.94641077,2.1251798561835944
4,21,223.78072357352505,223.41674823,3.2682415487854057
4,38,263.16076722867996,259.64679464,2.1836422603504664
4,39,262.90576308962403,262.06659921,2.4436684723233473
4,41,263.1079828108147,267.06521948,1.9894242836818636
4,42,270.53262058946194,269.6471616,2.4534687072884482
4,43,273.0391111839888,272.28637807,3.1934915608398384
4,45,278.1582451044736,277.74358649,3.059124182398292
5,4,189.5657283002653,189.72321432,1.6772434628450608
5,5,191.1443415121767,191.32509162,1.7068050813690898
5,6,192.72530089215178,192.96971692,1.5025771227819718
5,18,216.3775899835506,216.21163982,2.144693349720087
5,38,260.1118413677778,259.64679464,2.5330734180127714
5,39,262.43535589647183,262.06659921,2.6851175694791576
5,40,265.0065244276198,264.53889634,2.27807421746237
5,43,272.5530914800379,272.28637807,2.3695354617996136
5,44,275.29335411059145,274.9845898,3.2085337154717375
6,54,302.64905522285284,305.38080342,0.41267477141518166
7,32,245.88789830995148,246.30804472,0.671501137772939
7,39,263.2007375003149,262.06659921,2.203057688015075
7,40,266.07491228926,264.53889634,6.138120667992206
7,41,268.0160999885501,267.06521948,2.2382584429234242
7,42,265.3424240414284,269.6471616,2.726419670764093
8,4,180.084228515625,189.72321432,0.21559021408364404
8,45,270.00393332445276,277.74358649,0.4272774245200136
9,21,222.5231925034359,223.41674823,0.5459793500079078
9,44,269.9882179642282,274.9845898,0.45585596853243554
9,45,269.9763922443592,277.74358649,0.4870005678238491
9,55,303.14526421098117,308.85753398,0.41810229443842567
10,44,270.0149956293488,274.9845898,0.4000240185622761
10,45,269.98153068703346,277.74358649,0.4785574077536007
11,44,269.9917178453124,274.9845898,0.42755908532920156
11,45,269.98854908576527,277.74358649,0.431473634574103
13,44,270.02812937412716,274.9845898,0.41782655268003377
13,45,270.13721521703155,277.74358649,1.9323166073448645
14,44,270.0233905200944,274.9845898,0.4249427760866785
14,45,269.97090069015667,277.74358649,0.4172939843535579
15,3,180.084228515625,188.16279125,0.21559021408364404
15,44,269.98721056200816,274.9845898,0.6320989344016147
15,45,269.9999123853907,277.74358649,0.4677000568241748
