xf0,xf1,center,expected_center,fwhm
0,24,231.32512156381648,230.67665297,2.145151634984948
0,45,285.07104368797087,277.74358649,0.31594239999971985
2,23,229.4468258724009,228.57567218,1.801355849088483
2,25,232.75522258836867,232.49762763,1.3932746320620126
2,26,235.4189929859914,234.35463586,1.7616002707241583
2,48,293.33351961698423,286.17572325,0.31493434296005846
3,26,240.61322480075498,234.35463586,1.40215502737515
6,30,240.61322480075498,242.16218512,1.40215502737515
7,33,257.8133277858383,248.44534582,0.6807570649038613
8,30,235.2160437121246,242.16218512,0.5545927643902162
8,35,252.62669195908373,252.85464004,0.7549630505637315
10,32,247.63678773742203,246.30804472,0.5603995617861056
11,33,247.55689792626103,248.44534582,0.42804915376248176
11,48,276.7255083870168,286.17572325,0.375776627144408
14,31,247.3248126319973,244.21404055,0.5963147609140852
