xf0,xf1,center,expected_center,fwhm
0,2,187.09958224445995,186.64257634,0.313022515679705
0,5,187.0950276594896,191.32509162,0.36654151019918246
0,6,187.08646973026498,192.96971692,0.5379944973383166
0,7,187.09591274734316,194.65843399,0.47900856091827476
1,8,196.86742333367528,196.25228765,1.8330463893556599
1,9,198.58252334162614,198.0296243,2.4216350278135645
1,12,204.2570125917688,203.6579049,1.9023406987930103
1,13,206.23784658283725,205.63818422,2.0363121185615034
1,14,208.28765305662512,207.67343911,2.0073732011999534
1,37,258.46159844927496,257.27800588,2.210007172515365
1,38,260.90405459093967,259.64679464,2.1404346335986233
1,42,271.02286337360385,269.6471616,2.60935961285538
2,4,190.14965463586552,189.72321432,2.4019451800662734
2,5,191.76957897394834,191.32509162,2.921262465370324
2,9,198.6504153844034,198.0296243,1.8959084686908025
2,10,200.48128859373148,199.85528592,1.8150234216828105
2,11,202.3936138504397,201.73083689,1.7541123165919257
2,12,204.27299950697505,203.6579049,1.857677950502618
2,14,208.32184518293764,207.67343911,1.8893612848471235
2,15,210.2730765794521,209.76550744,2.311514786321037
2,18,217.07592721707013,216.21163982,2.2651980973511017
2,36,256.1903689306052,254.95881035,2.312710819478083
2,37,258.74918993060385,257.27800588,2.6584288063088417
2,39,263.37729985630443,262.06659921,2.796122786749348
2,40,265.92756854146637,264.53889634,2.4985153983522035
2,41,268.5005741434709,267.06521948,2.441268196976358
2,43,273.71035758720484,272.28637807,2.5248408080463256
2,44,276.28023388226984,274.9845898,2.5555971017929773
2,45,279.1676267586414,277.74358649,2.7278038826288045
2,46,281.9372449561229,280.56523012,2.6974929198572757
3,2,187.05798210109165,186.64257634,1.9338490908690942
3,3,188.62220492340919,188.16279125,1.6501971513761335
3,4,190.08306949667966,189.72321432,1.4853282068888447
3,5,191.6863625923442,191.32509162,1.5879118694253922
3,6,193.3209761624757,192.96971692,1.813357884936614
3,7,194.7999619773162,194.65843399,1.4767122166255247
3,8,196.92367906338765,196.25228765,1.8146870448444083
3,9,198.57704833808222,198.0296243,1.8538485432358234
3,12,204.19520498759383,203.6579049,1.8988078556250185
3,13,206.1830088936678,205.63818422,2.030921021614893
3,15,210.21037755724694,209.76550744,1.9713833755413697
3,18,216.97324029105528,216.21163982,2.1785820751547758
3,37,258.35507694202533,257.27800588,2.75689160604851
3,38,260.6058521897303,259.64679464,2.364607104493129
3,39,263.2035833629173,262.06659921,2.257879702183979
3,40,265.2913442212077,264.53889634,2.5749878631056227
3,41,267.94080941152487,267.06521948,2.050521349123342
4,0,184.42340782367813,183.71801232,1.065964510123809
4,1,185.60317505123805,185.16136904,1.538793932200777
4,3,188.63291785617167,188.16279125,1.5296100906217611
4,6,193.31376372181256,192.96971692,1.6276564975169054
4,7,194.89091650853837,194.65843399,1.5833554964665417
4,15,210.14850342231267,209.76550744,1.9763463372945036
4,31,248.6765474217059,244.21404055,0.3741568658375818
4,37,258.2423166871054,257.27800588,5.04538870447808
4,39,262.9073716304113,262.06659921,2.706174322536306
4,42,270.4885289757086,269.6471616,2.412099705524655
4,43,272.9990933786476,272.28637807,3.539317157533433
4,45,278.28283453696577,277.74358649,3.2119649170018807
5,0,183.51484278358691,183.71801232,1.462685263227587
5,4,189.56058493465778,189.72321432,1.6817225633680013
5,5,191.06932912986198,191.32509162,1.713563067209345
5,7,194.26663682547857,194.65843399,1.8390315743620143
5,12,203.63064305532205,203.6579049,2.0461375529299817
5,13,205.5112650005304,205.63818422,2.0624763377409296
5,37,257.74286603427646,257.27800588,2.554165253745529
5,39,262.4317418690215,262.06659921,3.133900844711884
5,40,264.9778032792502,264.53889634,2.4008933330339723
5,43,272.48472137525084,272.28637807,3.4052095407415837
6,15,217.45603923910235,209.76550744,0.38102858121679983
6,40,268.57330725918985,264.53889634,3.0265420867959683
6,56,305.50224572728325,312.42022833,0.4320606835339005
7,7,187.07378600822912,194.65843399,0.3637984979505421
9,1,187.08221632625447,185.16136904,0.3939775129614237
9,2,187.07962134857172,186.64257634,0.37999407716874706
9,4,187.10786636851458,189.72321432,0.3886767589518451
10,1,187.07883594517065,185.16136904,0.37133596758265225
10,3,187.0887018680651,188.16279125,0.3718643843782386
11,2,187.06825270834494,186.64257634,0.35148802882717056
11,18,216.77080771612324,216.21163982,0.9591483540290089
13,19,213.52744242471442,218.54549518,0.5242229631746992
13,56,313.42020959907,312.42022833,0.3736862461854126
13,57,322.29340069909375,316.07183793,0.4099139874812858
14,4,187.08784075133946,189.72321432,0.5048393328558297
15,16,203.04052513797808,211.73616035,0.49036264634567506
