xf0,xf1,center,expected_center,fwhm
0,16,202.38485315954236,211.73616035,0.41610509490485675
2,1,180.084228515625,185.16136904,0.21559021408364404
2,2,187.05251137183404,186.64257634,1.2767880687988458
2,18,217.02100702798847,216.21163982,1.6548089420215852
3,6,193.18049980120912,192.96971692,2.3969394706282703
3,17,214.55980868007003,213.94258352,2.0782616936608185
3,18,216.91433082221704,216.21163982,2.1682092200942336
3,23,236.43735290705362,228.57567218,0.32694689600820687
3,38,253.19476519386154,259.64679464,0.8041099598579785
3,48,293.1563187396986,286.17572325,0.7739110144265505
4,6,192.9847765648329,192.96971692,0.7940335278929982
4,55,317.0120346373871,308.85753398,0.5952816089704283
5,25,223.3000974446825,232.49762763,0.4465732190002177
6,23,236.48073849493633,228.57567218,0.34920021608893237
8,0,187.01175405673894,183.71801232,0.3967528832323222
11,15,203.84864340180428,209.76550744,0.5173935204621362
11,50,287.4104000023236,292.27884272,0.5902474034801238
11,57,320.8222984637584,316.07183793,0.46936692133866725
12,1,187.02110442637192,185.16136904,0.3346257186930199
12,5,187.00618793428603,191.32509162,0.33084630992596453
12,6,187.02630888571835,192.96971692,0.31820451447401266
12,33,253.61122995766655,248.44534582,0.4319465208159337
13,1,187.00734269590083,185.16136904,0.362957398700006
13,7,187.0075690219424,194.65843399,0.3113566177171187
13,9,194.67125016439203,198.0296243,0.49690289424560147
14,17,222.28493441102248,213.94258352,0.4342544871600528
14,23,236.45500741161098,228.57567218,0.393853372227709
14,25,237.15848074500408,232.49762763,0.6343862558712478
15,6,187.00728487879812,192.96971692,0.33233683982817014
15,11,194.5290847490617,201.73083689,0.657589338943132
