xf0,xf1,center,expected_center,fwhm
0,4,180.084228515625,189.72321432,0.21559021408364404
0,18,224.46036613989557,216.21163982,0.37744733641686173
0,19,224.47834674005415,218.54549518,0.3791545456229725
1,2,187.01287825276745,186.64257634,1.4328042093693165
1,4,190.1617927372574,189.72321432,1.6538081810277645
1,6,193.35350329254848,192.96971692,1.7102753111805558
1,9,198.64040116878164,198.0296243,1.8395377389714864
1,11,202.31158072585407,201.73083689,1.8225429413450283
1,12,204.23248848253544,203.6579049,1.8970361631537085
1,13,206.25700383747895,205.63818422,1.9099139774733467
1,14,208.26780776575336,207.67343911,1.9176454072680154
1,16,212.58353560775709,211.73616035,2.296227028772755
1,18,224.44367375944202,216.21163982,0.40459710822608624
1,44,275.8824810636338,274.9845898,2.6009592375060944
1,45,278.87529510616133,277.74358649,2.066168456162905
1,52,305.81797512604584,298.67406315,0.5041809930881815
2,0,184.62430295561586,183.71801232,2.6713370504095564
2,1,185.11322245001864,185.16136904,2.8140373221167274
2,2,187.0512871612261,186.64257634,1.480390422795554
2,3,188.65671753850734,188.16279125,1.612384563384509
2,4,190.14961628186344,189.72321432,1.6487618988629797
2,5,191.71979164215637,191.32509162,1.6634269712824532
2,11,202.37408758938332,201.73083689,1.7752214486128615
2,12,204.2762086735162,203.6579049,1.879055805168794
2,14,208.32874249752453,207.67343911,1.935823214749108
2,15,210.3337836567307,209.76550744,1.8798110673271258
2,16,212.6736904134135,211.73616035,2.184781761216304
2,17,214.74976831595757,213.94258352,2.079941718260293
2,18,217.0245658538,216.21163982,2.248342864774364
2,19,219.67842571666282,218.54549518,2.0036461630490767
2,20,221.8346753091855,220.94641077,2.3017015767243865
2,22,226.91078079115118,225.95897538,2.061614480660727
2,23,229.26708898542063,228.57567218,2.32020961528782
2,42,270.88456129142725,269.6471616,2.418299815017445
3,0,183.95287217833715,183.71801232,2.263729761352151
3,1,185.56168152928157,185.16136904,1.6434704079156963
3,2,187.12881860421265,186.64257634,1.875000515244947
3,3,188.5829099730102,188.16279125,1.6199895803335844
3,4,190.08970387910972,189.72321432,1.5877215840234697
3,5,191.69440657624992,191.32509162,1.609190031096636
3,6,193.31845668797305,192.96971692,1.7003926608101467
3,7,194.77928201215178,194.65843399,1.5724647271948788
3,8,196.81707575817467,196.25228765,1.778124516618458
3,9,198.57590317513552,198.0296243,1.8843482098830913
3,10,200.47537442963446,199.85528592,1.7560094732047435
3,12,204.1790132553415,203.6579049,2.1532231844817975
3,13,206.1928447852687,205.63818422,2.0498004507391996
3,14,208.23610771285175,207.67343911,1.8949821939740568
3,15,210.22393797780987,209.76550744,1.9012639203611466
3,17,214.78795183070537,213.94258352,2.0153650793163633
3,18,216.97735672349066,216.21163982,2.179274693655879
3,19,219.12316668656294,218.54549518,2.1248002075657038
3,20,221.7426213956721,220.94641077,2.2340891395148685
3,21,224.11939264741827,223.41674823,2.40810494664968
3,22,226.59497685639647,225.95897538,2.381614780480582
3,23,229.06527399492882,228.57567218,2.3457058147162595
3,36,256.0203048387689,254.95881035,2.1069006624893607
3,43,273.164079122025,272.28637807,2.1590317068047984
3,44,275.8521893226956,274.9845898,1.6501665410552533
3,45,278.9265437288288,277.74358649,3.158952183373053
4,0,184.1118474875451,183.71801232,1.631027494728607
4,1,185.61599806406207,185.16136904,1.5670387578667395
4,2,187.07671415636872,186.64257634,1.760663077176374
4,3,188.61735834628843,188.16279125,1.7178450347148864
4,6,193.3123348424646,192.96971692,1.6565118811172084
4,7,194.9305530600498,194.65843399,1.6162462635331203
4,12,204.27333411635263,203.6579049,1.9095416169020567
4,13,203.4869954367728,205.63818422,0.3051221786549292
