xf0,xf1,center,expected_center,fwhm
0,22,233.28326469276752,225.95897538,0.5897627695821247
0,42,268.2469468350828,269.6471616,2.7475422493034536
1,21,233.32173721120532,223.41674823,0.44226567671174416
2,1,180.084228515625,185.16136904,0.21559021408364404
2,14,208.02201878223207,207.67343911,3.5872404151181425
2,22,226.56752771532504,225.95897538,1.71761085015776
3,8,196.5700358675024,196.25228765,3.2913032384542875
3,10,200.43131482735959,199.85528592,2.5885757054122123
3,12,204.4650274632289,203.6579049,1.722141852824568
3,13,206.18718736457683,205.63818422,2.2898595057954894
3,14,208.15731734365747,207.67343911,2.5390161039788754
3,15,210.14778348151359,209.76550744,1.9182386539411147
3,21,224.0395481318711,223.41674823,1.9582531709601014
3,22,226.2742600116527,225.95897538,2.2229663420494745
3,23,229.0666577295075,228.57567218,1.9547018101473943
3,49,292.7756935631249,289.19192083,0.9505152799458904
5,21,233.31335431424574,223.41674823,0.3658771046590348
5,22,233.34264374325724,225.95897538,0.6239084209192912
12,16,208.8487332722323,211.73616035,0.3461266089980129
13,3,194.74209837174513,188.16279125,0.5529399239185763
14,17,217.39721644699029,213.94258352,0.32648871321062434
14,23,233.28423653928854,228.57567218,0.4809218902224697
