xf0,xf1,center,expected_center,fwhm
0,42,268.2596728787783,269.6471616,4.125991761948249
2,0,184.21747523571634,183.71801232,1.8305015939954734
2,1,180.084228515625,185.16136904,0.21559021408364404
2,2,187.11627701000745,186.64257634,1.004395170610687
2,4,190.20494381740298,189.72321432,1.4571880363506169
2,6,193.44586463048992,192.96971692,1.5518543603358925
2,11,202.6732891015505,201.73083689,1.588788508911516
2,22,235.29826650443653,225.95897538,0.3625287358252722
2,23,235.2944789399633,228.57567218,0.4651171587252407
3,3,188.437417098903,188.16279125,1.7602922736866693
3,5,191.93661474372573,191.32509162,1.4806534808245204
3,6,193.12165072720452,192.96971692,1.3348947974257455
3,8,196.7283036954531,196.25228765,1.7140421326438193
3,9,198.55509102776568,198.0296243,2.0604727697266663
3,10,200.35533358219197,199.85528592,1.8737847296909809
3,12,204.34552768027024,203.6579049,2.288697410262051
3,13,206.09392002431463,205.63818422,1.8199982805099482
3,14,208.19950263476255,207.67343911,2.133885006577814
3,15,210.22386042848171,209.76550744,1.8361193738167938
3,17,214.4995658736513,213.94258352,2.511845079017287
4,8,196.67763081020775,196.25228765,1.7345197784741389
4,10,200.4753134867878,199.85528592,1.4323436093386495
4,24,235.3248564347276,230.67665297,0.48904136027875766
5,23,237.86315797379203,228.57567218,1.3390030612074066
6,23,238.01531391112078,228.57567218,1.4061542829320162
7,40,273.52807664615955,264.53889634,1.8391773285454618
7,41,271.45620029988646,267.06521948,0.8184509850287665
7,42,269.07802553701384,269.6471616,1.0965810519161066
9,42,275.78265777602127,269.6471616,0.44450205639668694
