xf0,xf1,center,expected_center,fwhm
0,42,265.349365951436,269.6471616,0.5795365711372393
1,17,208.88475162722062,213.94258352,0.28011550728751006
3,4,190.03953302711307,189.72321432,1.60424779376514
3,5,191.74191805982883,191.32509162,2.300292920683789
3,6,193.3168215981256,192.96971692,1.8893882929049863
3,56,314.1625633348618,312.42022833,0.3818191857187281
4,6,193.31575587537418,192.96971692,2.1423076300270276
4,14,208.16767974399005,207.67343911,2.412221680941013
4,17,214.7134156738953,213.94258352,2.1886870602211212
4,26,235.1670553969132,234.35463586,2.068137461344709
5,4,189.49961054886708,189.72321432,1.918502497915162
7,45,282.8638809109888,277.74358649,0.3915100468605295
9,2,187.09670795309265,186.64257634,0.3814588178684864
9,3,187.08254540952933,188.16279125,0.47214427887569294
10,3,187.08665704097032,188.16279125,0.7681392684752835
11,25,231.51388754604693,232.49762763,0.4023362662392017
11,49,293.1364075642442,289.19192083,0.6592848005269574
14,47,293.1291200133973,283.45145867,0.3846523449957119
