xf0,xf1,center,expected_center,fwhm
0,22,233.4828236866138,225.95897538,0.3750137349065461
1,23,236.79539001118764,228.57567218,0.400512883050602
2,1,180.084228515625,185.16136904,0.21559021408364404
2,22,233.49804340904456,225.95897538,0.34210827173972813
2,23,233.4995133330692,228.57567218,0.41168538515909375
3,21,224.09776788313826,223.41674823,2.1339663633480486
3,22,233.5256668498444,225.95897538,0.3539469719929288
3,23,236.76119156063436,228.57567218,0.3589037781602986
5,23,236.82370682911454,228.57567218,0.5204733926473101
6,23,236.8149290537309,228.57567218,0.41919745813788695
10,8,186.90758246442462,196.25228765,0.487669521668444
12,22,233.49602570435053,225.95897538,0.33115674616630547
12,57,325.759238218369,316.07183793,0.5622448879334966
13,13,213.58939454031386,205.63818422,0.6091051012241576
13,22,233.53160642247354,225.95897538,0.41913614160355805
13,23,233.42883133332717,228.57567218,0.4385373763763361
14,22,233.51692431772784,225.95897538,0.3532999074089851
14,23,233.41784762171167,228.57567218,0.5812925770105918
15,22,233.50107455094874,225.95897538,0.3375956188296612
